"Test_True","Test_predicted","iteration","seasonality","IC50_SP_R","IC50_SP","Age","Coverage_reduction","Number_round"
0.0175889267807597,0.0184702781361306,3,"sesonality2",24.2,2.39,"5","0","4"
0.018298882550995,0.0186303524179918,3,"sesonality2",24.2,2.39,"5","0","4"
0.0209514533099519,0.0226028080042012,3,"sesonality2",24.2,2.39,"5","0","4"
0.0154453472476353,0.0164631368081834,3,"sesonality2",24.2,2.39,"5","0","4"
0.00375197486857852,0.00734370362817316,3,"sesonality2",24.2,2.39,"5","0","4"
0.0102344506733923,0.0106902587599938,3,"sesonality2",24.2,2.39,"5","0","4"
0.0163827904152413,0.0159977088851115,3,"sesonality2",24.2,2.39,"5","0","4"
0.0150816432843154,0.0159218573446255,3,"sesonality2",24.2,2.39,"5","0","4"
0.0198731757325674,0.018979045918138,3,"sesonality2",24.2,2.39,"5","0","4"
0.017674935140966,0.0160971620286854,3,"sesonality2",24.2,2.39,"5","0","4"
0.0184301599603288,0.0187135983454704,3,"sesonality2",24.2,2.39,"5","0","4"
0.0217338957650349,0.0200699144704229,3,"sesonality2",24.2,2.39,"5","0","4"
0.0160422935209516,0.0135314516421505,3,"sesonality2",24.2,2.39,"5","0","4"
0.0200365078498875,0.0188526500343125,3,"sesonality2",24.2,2.39,"5","0","4"
0.0173415256362712,0.0177366769210789,3,"sesonality2",24.2,2.39,"5","0","4"
0.0210286783053072,0.0195365183922985,3,"sesonality2",24.2,2.39,"5","0","4"
0.020389545518938,0.0219487247479164,3,"sesonality2",24.2,2.39,"5","0","4"
0.0269346695168556,0.027071081511694,3,"sesonality2",24.2,2.39,"5","0","4"
0.0188677998247051,0.0187824417926369,3,"sesonality2",24.2,2.39,"5","0","4"
0.0232224028531159,0.0235255139268351,3,"sesonality2",24.2,2.39,"5","0","4"
0.00897103558501624,0.00776932451439544,3,"sesonality2",24.2,2.39,"5","0","4"
0.0151147815814967,0.0141411264257089,3,"sesonality2",24.2,2.39,"5","0","4"
0.0194143528233685,0.0190722007891042,3,"sesonality2",24.2,2.39,"5","0","4"
0.0172676169255496,0.0167610559835005,3,"sesonality2",24.2,2.39,"5","0","4"
0.0169904997737792,0.0172756636274564,3,"sesonality2",24.2,2.39,"5","0","4"
0.0130037170961129,0.0141399114169979,3,"sesonality2",24.2,2.39,"5","0","4"
0.0164815892903989,0.0168309212330947,3,"sesonality2",24.2,2.39,"5","0","4"
0.0185705708290894,0.0179485408560581,3,"sesonality2",24.2,2.39,"5","0","4"
0.0173259828170761,0.0180849361707096,3,"sesonality2",24.2,2.39,"5","0","4"
0.0175446109243834,0.0172552572688094,3,"sesonality2",24.2,2.39,"5","0","4"
0.0144857281106175,0.0147905141119653,3,"sesonality2",24.2,2.39,"5","0","4"
0.0151340780620759,0.0151980665150522,3,"sesonality2",24.2,2.39,"5","0","4"
0.015724752267317,0.0142082449323596,3,"sesonality2",24.2,2.39,"5","0","4"
0.024829527207752,0.0251768358480135,3,"sesonality2",24.2,2.39,"5","0","4"
0.0140514501395077,0.0149260771326592,3,"sesonality2",24.2,2.39,"5","0","4"
0.0183690122214063,0.0190103961668012,3,"sesonality2",24.2,2.39,"5","0","4"
0.0217349662527105,0.0220095244646084,3,"sesonality2",24.2,2.39,"5","0","4"
0.0180681924248207,0.0186950327595458,3,"sesonality2",24.2,2.39,"5","0","4"
0.0181229853715402,0.0177321111097579,3,"sesonality2",24.2,2.39,"5","0","4"
0.0179973414196403,0.0176467270032233,3,"sesonality2",24.2,2.39,"5","0","4"
0.0180995165726974,0.0175564319878217,3,"sesonality2",24.2,2.39,"5","0","4"
0.0164427785952145,0.0154593271869706,3,"sesonality2",24.2,2.39,"5","0","4"
0.0198208570637851,0.0204053635684391,3,"sesonality2",24.2,2.39,"5","0","4"
0.0144248748616867,0.0150286616916968,3,"sesonality2",24.2,2.39,"5","0","4"
0.0170340769741061,0.0170030199425988,3,"sesonality2",24.2,2.39,"5","0","4"
0.0164006612014346,0.0156264397653264,3,"sesonality2",24.2,2.39,"5","0","4"
0.0252972668655959,0.0249345323248734,3,"sesonality2",24.2,2.39,"5","0","4"
0.0176474182933298,0.0166965747702224,3,"sesonality2",24.2,2.39,"5","0","4"
0.021929444412918,0.0219466006237862,3,"sesonality2",24.2,2.39,"5","0","4"
0.0201863075599957,0.0189952057324834,3,"sesonality2",24.2,2.39,"5","0","4"
0.00549050550701358,0.00526012033333759,3,"sesonality2",24.2,2.39,"5","0","4"
0.00781218474129517,0.00732085633963713,3,"sesonality2",24.2,2.39,"5","0","4"
0.00950336634817103,0.00922869257455906,3,"sesonality2",24.2,2.39,"5","0","4"
0.00794695009269652,0.0101119576478563,3,"sesonality2",24.2,2.39,"5","0","4"
0.00958448174958099,0.0109859370115369,3,"sesonality2",24.2,2.39,"5","0","4"
0.00685667507101892,0.0068670749435197,3,"sesonality2",24.2,2.39,"5","0","4"
0.00988568096543867,0.0109067988231794,3,"sesonality2",24.2,2.39,"5","0","4"
0.0104994634013615,0.0117569566172205,3,"sesonality2",24.2,2.39,"5","0","4"
0.0105402654897254,0.00880273643112644,3,"sesonality2",24.2,2.39,"5","0","4"
0.0040463422926281,0.00777721558944108,3,"sesonality2",24.2,2.39,"5","0","4"
0.0096219855631391,0.0110393261426964,3,"sesonality2",24.2,2.39,"5","0","4"
0.0107491306691287,0.0114372235520642,3,"sesonality2",24.2,2.39,"5","0","4"
0.00792873021853618,0.00757836527856247,3,"sesonality2",24.2,2.39,"5","0","4"
0.0116160296873552,0.00849448136199324,3,"sesonality2",24.2,2.39,"5","0","4"
0.00980405746752106,0.00740087955261856,3,"sesonality2",24.2,2.39,"5","0","4"
0.009905377420929,0.0102118565142358,3,"sesonality2",24.2,2.39,"5","0","4"
0.00932855275895345,0.00992152342348454,3,"sesonality2",24.2,2.39,"5","0","4"
0.00879772436831975,0.00893837464337329,3,"sesonality2",24.2,2.39,"5","0","4"
0.008493178832602,0.00940185291892533,3,"sesonality2",24.2,2.39,"5","0","4"
0.0109060465355528,0.00948579877130734,3,"sesonality2",24.2,2.39,"5","0","4"
0.011536183409759,0.00969338030390634,3,"sesonality2",24.2,2.39,"5","0","4"
0.0103604042996714,0.00958563514268429,3,"sesonality2",24.2,2.39,"5","0","4"
0.00635250177020305,0.0072469408997556,3,"sesonality2",24.2,2.39,"5","0","4"
0.00418190526805721,0.00718664919444212,3,"sesonality2",24.2,2.39,"5","0","4"
0.00887039008906102,0.00940871183624954,3,"sesonality2",24.2,2.39,"5","0","4"
0.00727379531216412,0.00720390877485838,3,"sesonality2",24.2,2.39,"5","0","4"
0.00761252636592941,0.00926933100229109,3,"sesonality2",24.2,2.39,"5","0","4"
0.00808949497662419,0.00934922359074951,3,"sesonality2",24.2,2.39,"5","0","4"
0.00713958913660558,0.00809347908181882,3,"sesonality2",24.2,2.39,"5","0","4"
0.00892499439225593,0.00987098263871293,3,"sesonality2",24.2,2.39,"5","0","4"
0.00983889632107037,0.00786252342073366,3,"sesonality2",24.2,2.39,"5","0","4"
0.0158886743658679,0.0155982927582037,3,"sesonality2",24.2,2.39,"5","0","4"
0.0139907757681757,0.0113095738025273,3,"sesonality2",24.2,2.39,"5","0","4"
0.0108500397195467,0.0115378542622517,3,"sesonality2",24.2,2.39,"5","0","4"
0.00699920201405507,0.00788043038681348,3,"sesonality2",24.2,2.39,"5","0","4"
0.0100654565629035,0.00821656689012032,3,"sesonality2",24.2,2.39,"5","0","4"
0.00644642162343827,0.00896403193679708,3,"sesonality2",24.2,2.39,"5","0","4"
