"Survey","Host_2","Uncomp_2","MDAs_2"
353,1559,66,0
354,1559,60,0
355,1559,52,0
356,1559,47,0
357,1560,47,0
358,1560,42,0
359,1560,37,0
360,1560,47,0
361,1560,35,0
362,1560,38,0
363,1560,31,0
364,1560,22,0
365,1560,22,0
366,1560,26,0
367,1561,21,0
368,1560,17,0
369,1560,12,0
370,1560,16,0
371,1560,13,0
372,1559,13,0
373,1559,13,0
374,1559,3,0
375,1559,7,0
376,1560,6,0
377,1560,7,0
378,1560,9,0
379,1560,6,0
380,1560,3,0
381,1560,1,0
382,1560,3,0
383,1560,2,0
384,1560,5,0
385,1561,4,0
386,1561,7,0
387,1561,3,0
388,1561,2,0
389,1561,2,0
390,1562,0,0
391,1562,1,0
392,1562,3,0
393,1561,5,0
394,1561,1,0
395,1561,2,0
396,1561,5,0
397,1560,7,0
398,1560,4,0
399,1560,7,0
400,1560,5,0
401,1560,9,0
402,1560,7,0
403,1560,7,0
404,1560,17,0
405,1561,17,0
406,1561,25,0
407,1559,30,0
408,1559,40,0
409,1559,34,0
410,1559,31,0
411,1559,52,0
412,1559,49,0
413,1561,62,0
414,1560,70,0
415,1560,60,0
416,1559,60,0
417,1559,67,0
418,1559,76,0
419,1560,69,0
420,1560,77,0
421,1559,77,0
422,1560,87,0
423,1560,68,0
424,1560,62,0
425,1560,54,0
426,1561,48,0
427,1561,64,0
428,1561,72,0
429,1562,65,0
430,1562,50,0
431,1562,43,0
432,1562,41,0
433,1561,36,0
434,1561,31,0
435,1561,40,0
436,1561,28,0
437,1561,25,0
438,1561,35,0
439,1561,24,0
440,1561,21,0
441,1561,12,0
442,1561,19,0
443,1561,16,0
444,1560,11,0
445,1560,9,0
446,1560,13,0
447,1560,13,0
448,1561,11,0
449,1562,8,0
450,1562,5,0
451,1562,2,0
452,1562,4,0
453,1562,7,0
454,1562,4,0
455,1561,7,0
456,1561,3,0
457,1562,2,0
458,1561,10,0
459,1561,1,0
460,1561,1,0
461,1561,2,0
462,1561,2,0
463,1560,2,0
464,1560,1,0
465,1561,3,0
466,1560,2,0
467,1560,5,0
468,1560,2,0
469,1560,4,0
470,1560,1,0
471,1560,3,0
472,1560,2,0
473,1560,6,0
474,1560,7,0
475,1560,10,0
476,1560,13,0
477,1559,8,0
478,1559,12,0
479,1559,21,0
480,1560,33,0
481,1559,24,0
482,1559,29,0
483,1559,38,0
484,1559,51,0
485,1559,37,0
486,1559,54,0
487,1559,65,0
488,1560,57,0
489,1560,67,0
490,1560,62,0
491,1560,64,0
492,1560,71,0
493,1560,67,0
494,1560,61,0
495,1560,62,0
496,1559,64,0
497,1560,68,0
498,1560,75,0
499,1559,59,0
500,1559,57,0
501,1559,49,0
502,1559,43,0
503,1560,47,0
504,1560,51,0
505,1560,36,0
506,1560,40,0
507,1560,47,0
508,1560,31,0
509,1560,31,0
510,1561,24,0
511,1559,26,0
512,1560,16,0
513,1560,23,0
514,1560,15,0
515,1560,13,0
516,1560,17,0
517,1561,7,0
518,1561,13,0
519,1561,7,0
520,1561,9,0
521,1561,6,0
522,1561,1,0
523,1561,4,0
524,1561,4,0
525,1561,8,0
526,1561,7,0
527,1561,4,0
528,1561,6,0
529,1559,1,0
530,1559,3,0
531,1559,1,0
532,1559,2,0
533,1559,6,0
534,1559,2,0
535,1560,0,0
536,1560,2,0
537,1561,2,0
538,1561,3,0
539,1560,2,0
540,1560,6,0
541,1559,8,0
542,1559,2,0
543,1559,9,0
544,1560,1,0
545,1560,1,0
546,1560,9,0
547,1560,11,0
548,1560,10,0
549,1560,9,0
550,1560,17,0
551,1560,11,0
552,1560,16,0
553,1560,27,0
554,1561,31,0
555,1560,28,0
556,1559,37,0
557,1561,49,0
558,1561,38,0
559,1561,67,0
560,1560,44,0
561,1561,74,0
562,1560,62,0
563,1560,58,0
564,1560,79,0
565,1560,75,0
566,1561,64,0
567,1560,60,0
568,1560,70,0
569,1560,61,0
570,1561,62,0
571,1561,64,0
572,1560,55,0
573,1561,72,0
574,1560,46,0
575,1561,57,0
576,1562,45,0
577,1562,37,0
578,1561,54,0
579,1561,41,0
580,1561,36,0
581,1561,24,0
582,1561,33,0
583,1561,31,0
584,1562,15,0
585,1562,23,0
586,1562,23,0
587,1562,18,0
588,1562,11,0
589,1562,16,0
590,1561,21,0
591,1562,13,0
592,1561,12,0
593,1562,10,0
594,1561,5,0
595,1560,6,0
596,1559,10,0
597,1559,10,0
598,1559,8,0
599,1559,6,0
600,1559,7,0
601,1560,6,0
602,1560,3,0
603,1560,3,0
604,1560,3,0
605,1560,5,0
606,1560,1,0
607,1560,2,0
608,1560,2,0
609,1560,2,0
610,1560,3,0
611,1560,3,0
612,1560,2,0
613,1560,2,0
614,1560,2,0
615,1560,3,0
616,1560,6,0
617,1560,3,0
618,1560,7,0
619,1560,6,0
620,1560,4,0
621,1560,8,0
622,1560,13,0
623,1561,26,0
624,1561,15,0
625,1561,17,0
626,1561,26,0
627,1562,29,0
628,1562,37,0
629,1563,35,0
630,1563,51,0
631,1563,39,0
632,1563,53,0
633,1563,59,0
634,1561,66,0
635,1559,64,0
636,1559,59,0
637,1559,63,0
638,1559,67,0
639,1560,68,0
640,1561,78,0
641,1561,59,0
642,1561,64,0
643,1561,61,0
644,1560,73,0
645,1560,60,0
646,1560,59,0
647,1560,65,0
648,1560,59,0
649,1560,48,0
650,1560,36,0
651,1560,40,0
652,1561,38,0
653,1561,34,0
654,1561,39,0
655,1560,24,0
656,1560,40,0
657,1560,13,0
658,1560,17,0
659,1560,24,0
660,1560,18,0
661,1561,16,0
662,1561,12,0
663,1561,12,0
664,1560,11,0
665,1559,6,0
666,1559,8,0
667,1559,11,0
668,1559,6,0
669,1559,4,0
670,1560,4,0
671,1560,3,0
672,1561,5,0
673,1561,2,0
674,1561,9,0
675,1561,4,0
676,1560,5,0
677,1561,1,0
678,1561,1,0
679,1561,1,0
680,1561,3,0
681,1561,4,0
682,1561,1,0
683,1562,3,0
684,1561,1,0
685,1561,2,0
686,1561,2,0
687,1560,5,0
688,1559,2,0
689,1559,5,0
690,1559,6,0
691,1559,6,0
692,1559,6,0
693,1559,7,0
694,1559,7,0
695,1559,11,0
696,1559,6,0
697,1559,25,0
698,1559,15,0
699,1559,29,0
700,1560,33,0
701,1560,43,0
702,1559,31,0
703,1559,43,0
704,1559,49,0
705,1559,65,0
706,1559,61,0
707,1559,53,0
708,1559,73,0
709,1560,62,0
710,1560,69,0
711,1560,73,0
712,1560,63,0
713,1560,77,0
714,1562,56,0
715,1563,65,0
716,1563,60,0
717,1563,67,0
718,1563,53,0
719,1562,47,0
720,1563,54,0
721,1563,44,0
722,1562,42,0
723,1562,43,0
724,1561,56,0
725,1561,45,0
726,1561,39,0
727,1561,31,0
728,1561,19,0
729,1562,32,0
730,1561,17,0
731,1560,24,0
732,1560,22,0
733,1560,16,0
734,1560,14,0
735,1560,18,0
736,1560,18,0
737,1561,7,0
738,1561,10,0
739,1561,11,0
740,1562,7,0
741,1562,10,0
742,1562,10,0
743,1562,5,0
744,1563,2,0
745,1562,6,0
746,1562,4,0
747,1563,3,0
748,1562,3,0
749,1563,2,0
750,1562,3,0
751,1562,3,0
752,1562,1,0
753,1561,5,0
754,1561,1,0
755,1561,3,0
756,1560,1,0
757,1560,2,0
758,1561,5,0
759,1562,1,0
760,1562,2,0
761,1561,2,0
762,1561,6,0
763,1561,7,0
764,1560,5,0
765,1561,2,0
766,1562,6,0
767,1561,6,0
768,1560,9,0
769,1560,17,0
770,1559,18,0
771,1560,23,0
772,1559,22,0
773,1559,28,0
774,1559,30,0
775,1560,35,0
776,1559,36,0
777,1559,49,0
778,1559,43,0
779,1559,47,0
780,1559,81,0
781,1560,58,0
782,1560,64,0
783,1560,73,0
784,1560,73,0
785,1560,54,0
786,1559,66,0
787,1559,68,0
788,1559,77,0
789,1559,62,0
790,1560,64,0
791,1560,63,0
792,1559,49,0
793,1559,58,0
794,1559,40,0
795,1559,59,0
796,1559,54,0
797,1560,49,0
798,1561,39,0
799,1561,34,0
800,1561,33,0
801,1561,19,0
802,1561,22,0
803,1561,23,0
804,1561,22,0
805,1561,16,0
806,1562,15,0
807,1561,13,0
808,1561,10,0
809,1561,16,0
810,1561,5,0
811,1561,7,0
812,1561,6,0
813,1561,10,0
814,1561,4,0
815,1561,5,0
816,1562,8,0
817,1563,6,0
818,1565,6,0
819,1564,2,0
820,1563,3,0
821,1563,3,0
822,1563,0,0
823,1564,3,0
824,1563,3,0
825,1562,1,0
826,1561,6,0
827,1561,5,0
828,1561,2,0
829,1561,3,0
830,1562,2,0
831,1561,1,0
832,1560,7,0
833,1559,2,0
834,1559,4,0
835,1559,3,0
836,1559,3,0
837,1559,5,0
838,1559,7,0
839,1560,8,0
840,1560,9,0
841,1559,17,0
842,1559,10,0
843,1559,22,0
844,1560,16,0
845,1560,18,0
846,1560,27,0
847,1561,28,0
848,1561,37,0
849,1561,36,0
850,1562,42,0
851,1562,46,0
852,1562,47,0
853,1561,60,0
854,1560,55,0
855,1560,70,0
856,1560,60,0
857,1560,54,0
858,1561,68,0
859,1561,64,0
860,1562,59,0
861,1561,55,0
862,1561,82,0
863,1561,76,0
864,1562,48,0
865,1561,58,0
866,1560,54,0
867,1561,46,0
868,1560,47,0
869,1561,53,0
870,1560,48,0
871,1561,37,0
872,1560,41,0
873,1559,32,0
874,1559,32,0
875,1559,23,0
876,1559,18,0
877,1559,22,0
878,1559,23,0
879,1559,16,0
880,1559,8,0
881,1560,16,0
882,1560,10,0
883,1559,12,0
884,1559,7,0
885,1559,11,0
886,1559,17,0
887,1559,8,0
888,1559,9,0
889,1559,6,0
890,1559,7,0
891,1559,4,0
892,1560,5,0
893,1561,4,0
894,1561,4,0
895,1562,3,0
896,1562,4,0
897,1561,5,0
898,1560,3,0
899,1561,2,0
900,1560,6,0
901,1560,1,0
902,1560,3,0
903,1559,2,0
904,1560,3,0
905,1559,3,0
906,1560,2,0
907,1560,4,0
908,1560,4,0
909,1560,4,0
910,1560,10,0
911,1560,5,0
912,1560,11,0
913,1560,8,0
914,1560,5,0
915,1561,9,0
916,1561,14,0
917,1562,18,0
918,1563,29,0
919,1563,38,0
920,1562,30,0
921,1562,38,0
922,1561,45,0
923,1561,47,0
924,1561,67,0
925,1560,44,0
926,1560,64,0
927,1560,56,0
928,1559,71,0
929,1559,69,0
930,1560,71,0
931,1560,67,0
932,1561,64,0
933,1562,69,0
934,1561,49,0
935,1560,70,0
936,1559,76,0
937,1559,73,0
938,1559,45,0
939,1560,63,0
940,1560,52,0
941,1560,55,0
942,1559,41,0
943,1559,36,0
944,1559,37,0
945,1559,35,0
946,1559,23,0
947,1559,39,0
948,1560,28,0
949,1560,29,0
950,1560,25,0
951,1560,19,0
952,1560,19,0
953,1561,16,0
954,1561,16,0
955,1561,14,0
956,1561,14,0
957,1561,16,0
958,1561,9,0
959,1561,7,0
960,1561,9,0
961,1561,6,0
962,1561,5,0
963,1561,9,0
964,1561,1,0
965,1561,0,0
966,1561,3,0
967,1561,6,0
968,1561,3,0
969,1561,1,0
970,1561,3,0
971,1561,0,0
972,1561,3,0
973,1561,3,0
974,1561,1,0
975,1561,3,0
976,1561,4,0
977,1561,1,0
978,1562,1,0
979,1562,1,0
980,1562,2,0
981,1562,8,0
982,1561,5,0
983,1561,5,0
984,1561,10,0
985,1560,1,0
986,1560,9,0
987,1559,16,0
988,1559,15,0
989,1559,21,0
990,1559,17,0
991,1559,26,0
992,1559,29,0
993,1559,38,0
994,1559,52,0
995,1559,37,0
996,1559,28,0
997,1559,57,0
998,1559,62,0
999,1560,60,0
1000,1560,64,0
1001,1561,77,0
1002,1561,63,0
1003,1561,71,0
1004,1563,76,0
1005,1562,63,0
1006,1562,65,0
1007,1562,62,0
1008,1562,57,0
1009,1562,64,0
1010,1562,54,0
1011,1562,57,0
1012,1561,60,0
1013,1563,39,0
1014,1562,40,0
1015,1562,36,0
1016,1562,36,0
1017,1562,31,0
1018,1562,36,0
1019,1563,28,0
1020,1562,33,0
1021,1562,33,0
1022,1561,23,0
1023,1561,15,0
1024,1561,16,0
1025,1560,14,0
1026,1561,16,0
1027,1560,11,0
1028,1559,17,0
1029,1559,16,0
1030,1559,9,0
1031,1559,10,0
1032,1559,6,0
1033,1560,12,0
1034,1559,6,0
1035,1560,13,0
1036,1560,4,0
1037,1560,8,0
1038,1561,5,0
1039,1561,4,0
1040,1561,4,0
1041,1561,4,0
1042,1561,8,0
1043,1561,5,0
1044,1561,9,0
1045,1561,1,0
1046,1561,2,0
1047,1561,1,0
1048,1561,1,0
1049,1560,1,0
1050,1560,2,0
1051,1560,8,0
1052,1560,6,0
1053,1560,6,0
1054,1560,4,0
1055,1560,3,0
1056,1560,7,0
1057,1560,6,0
1058,1560,11,0
1059,1560,13,0
1060,1560,16,0
1061,1560,15,0
1062,1560,16,0
1063,1560,20,0
1064,1560,22,0
1065,1560,36,0
1066,1560,32,0
1067,1560,40,0
1068,1560,58,0
1069,1559,47,0
1070,1559,68,0
1071,1559,65,0
1072,1559,73,0
1073,1559,69,0
1074,1559,71,0
1075,1560,65,0
1076,1560,61,0
1077,1560,65,0
1078,1560,69,0
1079,1560,68,0
1080,1560,82,0
1081,1560,73,0
1082,1560,57,0
1083,1561,61,0
1084,1561,53,0
1085,1560,60,0
1086,1560,57,0
1087,1560,56,0
1088,1560,47,0
1089,1560,43,0
1090,1560,36,0
1091,1560,38,0
1092,1560,33,0
1093,1560,33,0
1094,1560,20,0
1095,1560,18,0
1096,1560,21,0
1097,1560,14,0
1098,1560,8,0
1099,1560,15,0
1100,1560,12,0
1101,1560,12,0
1102,1560,11,0
1103,1560,5,0
1104,1560,6,0
1105,1560,5,0
1106,1560,7,0
1107,1560,6,0
1108,1560,13,0
1109,1560,4,0
1110,1561,6,0
1111,1561,7,0
1112,1562,4,0
1113,1561,6,0
1114,1560,0,0
1115,1560,5,0
1116,1559,4,0
1117,1559,3,0
1118,1559,5,0
1119,1560,3,0
1120,1560,4,0
1121,1560,2,0
1122,1560,1,0
1123,1559,5,0
1124,1559,1,0
1125,1559,5,0
1126,1559,6,0
1127,1559,5,0
1128,1559,8,0
1129,1559,4,0
1130,1559,11,0
1131,1559,8,0
1132,1559,9,0
1133,1559,14,0
1134,1559,17,0
1135,1560,16,0
1136,1560,20,0
1137,1560,28,0
1138,1560,32,0
1139,1560,40,0
1140,1562,32,0
1141,1562,43,0
1142,1563,51,0
1143,1563,57,0
1144,1563,67,0
1145,1563,65,0
1146,1563,57,0
1147,1563,84,0
1148,1563,73,0
1149,1562,68,0
1150,1562,63,0
1151,1563,68,0
1152,1563,69,0
1153,1562,63,0
1154,1561,73,0
1155,1561,66,0
1156,1560,50,0
1157,1559,53,0
1158,1559,73,0
1159,1559,52,0
1160,1560,47,0
1161,1559,41,0
1162,1559,45,0
1163,1559,37,0
1164,1559,25,0
1165,1559,58,0
1166,1561,40,0
1167,1562,14,0
1168,1561,14,0
1169,1560,25,0
1170,1561,17,0
1171,1561,21,0
1172,1560,18,0
1173,1562,15,0
1174,1562,12,0
1175,1561,5,0
1176,1560,12,0
1177,1561,9,0
1178,1561,8,0
1179,1559,9,0
1180,1559,8,0
1181,1559,10,0
1182,1559,10,0
1183,1559,6,0
1184,1560,5,0
1185,1560,3,0
1186,1560,5,0
1187,1560,4,0
1188,1560,2,0
1189,1560,2,0
1190,1560,6,0
1191,1560,1,0
1192,1560,1,0
1193,1560,6,0
1194,1560,6,0
1195,1560,1,0
1196,1560,0,0
1197,1559,2,0
1198,1559,1,0
1199,1560,4,0
1200,1560,7,0
1201,1560,3,0
