"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,0.8,"0.2","75","sesonality2",0.621610932198544,35
5,4,0.1,0.8,"0.2","75","sesonality2",0.432416398297817,21
5,4,0.1,0.8,"0.2","100","sesonality2",0.616983044956578,35
5,4,0.1,0.8,"0.2","100","sesonality2",0.424737050833373,21
5,4,0.1,0.8,"0.2","125","sesonality2",0.646214261931046,35
5,4,0.1,0.8,"0.2","125","sesonality2",0.44729672375073,21
5,4,0.1,0.8,"0.2","150","sesonality2",0.629833325514118,35
5,4,0.1,0.8,"0.2","150","sesonality2",0.456146745490571,21
5,4,0.1,0.8,"0.4","10","sesonality2",0.59306176587672,35
5,4,0.1,0.8,"0.4","10","sesonality2",0.385337971715452,21
5,4,0.1,0.8,"0.4","25","sesonality2",0.600153216366762,35
5,4,0.1,0.8,"0.4","25","sesonality2",0.409190842112245,21
5,4,0.1,0.8,"0.4","50","sesonality2",0.606034973383099,35
5,4,0.1,0.8,"0.4","50","sesonality2",0.390617930491275,21
5,4,0.1,0.8,"0.4","75","sesonality2",0.59988919742301,35
5,4,0.1,0.8,"0.4","75","sesonality2",0.366621984417344,21
5,4,0.1,0.8,"0.4","100","sesonality2",0.597458085491551,35
5,4,0.1,0.8,"0.4","100","sesonality2",0.368904875719489,21
5,4,0.1,0.8,"0.4","125","sesonality2",0.60091147245569,35
5,4,0.1,0.8,"0.4","125","sesonality2",0.382551620536285,21
5,4,0.1,0.8,"0.4","150","sesonality2",0.602030609889566,35
5,4,0.1,0.8,"0.4","150","sesonality2",0.396971900943776,21
5,4,0.1,0.85,"0.05","10","sesonality2",0.725378248293471,35
5,4,0.1,0.85,"0.05","10","sesonality2",0.582981784445641,21
5,4,0.1,0.85,"0.05","25","sesonality2",0.728345526183876,35
5,4,0.1,0.85,"0.05","25","sesonality2",0.589290219660082,21
5,4,0.1,0.85,"0.05","50","sesonality2",0.728481843521839,35
5,4,0.1,0.85,"0.05","50","sesonality2",0.568765280887627,21
5,4,0.1,0.85,"0.05","75","sesonality2",0.732170333192901,35
5,4,0.1,0.85,"0.05","75","sesonality2",0.575723797661134,21
5,4,0.1,0.85,"0.05","100","sesonality2",0.721268758405299,35
5,4,0.1,0.85,"0.05","100","sesonality2",0.560445600346771,21
5,4,0.1,0.85,"0.05","125","sesonality2",0.727154892907177,35
5,4,0.1,0.85,"0.05","125","sesonality2",0.566925672201679,21
5,4,0.1,0.85,"0.05","150","sesonality2",0.719479725385642,35
5,4,0.1,0.85,"0.05","150","sesonality2",0.565193574347746,21
5,4,0.1,0.85,"0.1","10","sesonality2",0.741955057584284,35
5,4,0.1,0.85,"0.1","10","sesonality2",0.609187870853244,21
5,4,0.1,0.85,"0.1","25","sesonality2",0.696608234046286,35
5,4,0.1,0.85,"0.1","25","sesonality2",0.524896922065538,21
5,4,0.1,0.85,"0.1","50","sesonality2",0.703675799730165,35
5,4,0.1,0.85,"0.1","50","sesonality2",0.532847999896667,21
5,4,0.1,0.85,"0.1","75","sesonality2",0.710024586134727,35
5,4,0.1,0.85,"0.1","75","sesonality2",0.539423908892225,21
5,4,0.1,0.85,"0.1","100","sesonality2",0.706195805682382,35
5,4,0.1,0.85,"0.1","100","sesonality2",0.527080340406324,21
5,4,0.1,0.85,"0.1","125","sesonality2",0.681603687038456,35
5,4,0.1,0.85,"0.1","125","sesonality2",0.515330056936316,21
5,4,0.1,0.85,"0.1","150","sesonality2",0.689871374039314,35
5,4,0.1,0.85,"0.1","150","sesonality2",0.503618488193236,21
5,4,0.1,0.85,"0.2","10","sesonality2",0.671964960492269,35
5,4,0.1,0.85,"0.2","10","sesonality2",0.50718810036917,21
5,4,0.1,0.85,"0.2","25","sesonality2",0.673242635394924,35
5,4,0.1,0.85,"0.2","25","sesonality2",0.451753472049958,21
5,4,0.1,0.85,"0.2","50","sesonality2",0.67123956685299,35
5,4,0.1,0.85,"0.2","50","sesonality2",0.485852293848366,21
5,4,0.1,0.85,"0.2","75","sesonality2",0.667431483377627,35
5,4,0.1,0.85,"0.2","75","sesonality2",0.465426902910706,21
5,4,0.1,0.85,"0.2","100","sesonality2",0.663692429717973,35
5,4,0.1,0.85,"0.2","100","sesonality2",0.468004691454454,21
5,4,0.1,0.85,"0.2","125","sesonality2",0.686090505016145,35
5,4,0.1,0.85,"0.2","125","sesonality2",0.483463548874426,21
5,4,0.1,0.85,"0.2","150","sesonality2",0.677243835546793,35
5,4,0.1,0.85,"0.2","150","sesonality2",0.493072238881404,21
5,4,0.1,0.85,"0.4","10","sesonality2",0.634603377276805,35
5,4,0.1,0.85,"0.4","10","sesonality2",0.406533214070093,21
5,4,0.1,0.85,"0.4","25","sesonality2",0.640941296304618,35
5,4,0.1,0.85,"0.4","25","sesonality2",0.43700089661533,21
5,4,0.1,0.85,"0.4","50","sesonality2",0.646733839769144,35
5,4,0.1,0.85,"0.4","50","sesonality2",0.417749812481866,21
5,4,0.1,0.85,"0.4","75","sesonality2",0.639115746695267,35
5,4,0.1,0.85,"0.4","75","sesonality2",0.394865099893365,21
5,4,0.1,0.85,"0.4","100","sesonality2",0.640697881934912,35
5,4,0.1,0.85,"0.4","100","sesonality2",0.395157609274389,21
5,4,0.1,0.85,"0.4","125","sesonality2",0.641513531089231,35
5,4,0.1,0.85,"0.4","125","sesonality2",0.402852649853055,21
5,4,0.1,0.85,"0.4","150","sesonality2",0.644791667679211,35
5,4,0.1,0.85,"0.4","150","sesonality2",0.432444142064729,21
5,4,0.1,0.9,"0.05","10","sesonality2",0.764028717052168,35
5,4,0.1,0.9,"0.05","10","sesonality2",0.614851469211584,21
5,4,0.1,0.9,"0.05","25","sesonality2",0.779994640035571,35
5,4,0.1,0.9,"0.05","25","sesonality2",0.629020307238311,21
5,4,0.1,0.9,"0.05","50","sesonality2",0.770464482842832,35
5,4,0.1,0.9,"0.05","50","sesonality2",0.608009921992034,21
5,4,0.1,0.9,"0.05","75","sesonality2",0.765336214494003,35
