"Survey","EIR","MDA"
369,0.01,0
370,0.01,0
371,0.01,0
372,0.01,0
373,0.01,0
374,0.01,0
375,0.01,0
376,0.01,0
377,0.01,0
378,0.01,0
379,0.01,0
380,0.01,0
381,0.01,0
382,0.01,0
383,0.01,0
384,0.01,0
385,0.01,0
386,0.01,0
387,0.01,0
388,0.01,0
389,0.01,0
390,0.01,0
391,0.01,0
392,0.01,0
393,0.01,0
394,0.01,0
395,0.01,0
396,0.01,0
397,0.0157419,0
398,0.0363015,0
399,0.06273,0
400,0.096737,0
401,0.141628,0
402,0.202363,0
403,0.28376,0
404,0.389014,0
405,0.524689,0
406,0.696716,0
407,0.909234,0
408,1.16262,0
409,1.44931,0
410,1.76148,0
411,2.08624,0
412,2.39331,0
413,2.65119,0
414,2.83764,0
415,2.9392,0
416,2.95563,0
417,2.8935,0
418,2.75422,0
419,2.55195,0
420,2.31099,0
421,2.05336,0
422,1.79569,0
423,1.54711,0
424,1.31553,0
425,1.10504,0
426,0.917217,0
427,0.752499,0
428,0.610596,0
429,0.490676,0
430,0.390912,0
431,0.308567,0
432,0.241293,0
433,0.187076,0
434,0.143748,0
435,0.109079,0
436,0.081499,0
437,0.059645,0
438,0.042375,0
439,0.0285745,0
440,0.017449,0
441,0.01,0
442,0.01,0
443,0.01,0
444,0.01,0
445,0.01,0
446,0.01,0
447,0.01,0
448,0.01,0
449,0.01,0
450,0.01,0
451,0.01,0
452,0.01,0
453,0.01,0
454,0.01,0
455,0.01,0
456,0.01,0
457,0.01,0
458,0.01,0
459,0.01,0
460,0.01,0
461,0.01,0
462,0.01,0
463,0.01,0
464,0.01,0
465,0.01,0
466,0.01,0
467,0.01,0
468,0.01,0
469,0.01,0
470,0.0136534,0
471,0.0329315,0
472,0.059234,0
473,0.094156,0
474,0.139408,0
475,0.198119,0
476,0.276062,0
477,0.37801,0
478,0.508963,0
479,0.677571,0
480,0.888039,0
481,1.13931,0
482,1.42073,0
483,1.72658,0
484,2.04414,0
485,2.34978,0
486,2.6171,0
487,2.8144,0
488,2.91912,0
489,2.93096,0
490,2.86155,0
491,2.72773,0
492,2.53894,0
493,2.30773,0
494,2.05428,0
495,1.79687,0
496,1.54878,0
497,1.31568,0
498,1.1021,0
499,0.911474,0
500,0.745773,0
501,0.604845,0
502,0.486527,0
503,0.387935,0
504,0.3067,0
505,0.24043,0
506,0.186693,0
507,0.143639,0
508,0.109264,0
509,0.081808,0
510,0.059887,0
511,0.042468,0
512,0.0286098,0
513,0.0174633,0
514,0.01,0
515,0.01,0
516,0.01,0
517,0.01,0
518,0.01,0
519,0.01,0
520,0.01,0
521,0.01,0
522,0.01,0
523,0.01,0
524,0.01,0
525,0.01,0
526,0.01,0
527,0.01,0
528,0.01,0
529,0.01,0
530,0.01,0
531,0.01,0
532,0.01,0
533,0.01,0
534,0.01,0
535,0.01,0
536,0.01,0
537,0.01,0
538,0.01,0
539,0.01,0
540,0.01,0
541,0.01,0
542,0.01,0
543,0.0188307,0
544,0.0388686,0
545,0.065367,0
546,0.101106,0
547,0.149047,0
548,0.212421,0
549,0.294179,0
550,0.400545,0
551,0.539846,0
552,0.71678,0
553,0.937744,0
554,1.20682,0
555,1.51551,0
556,1.84268,0
557,2.16271,0
558,2.45846,0
559,2.71274,0
560,2.90178,0
561,3.00459,0
562,3.01314,0
563,2.93234,0
564,2.77794,0
565,2.56899,0
566,2.32523,0
567,2.06587,0
568,1.80549,0
569,1.55586,0
570,1.32391,0
571,1.11298,0
572,0.925025,0
573,0.760462,0
574,0.618353,0
575,0.497671,0
576,0.396543,0
577,0.312951,0
578,0.244861,0
579,0.190054,0
580,0.146191,0
581,0.11116,0
582,0.08331,0
583,0.061251,0
584,0.043755,0
585,0.0297675,0
586,0.0184643,0
587,0.01,0
588,0.01,0
589,0.01,0
