"Lower_quartile","Selection_coefficient","Upper_quartile","Range","Factor","Age","Number_round","Coverage_reduction","Seasonality"
0.0126393111846781,0.0148559540812704,0.0163413048990443,1,"Coverage","5","4","0","sesonality2"
0.0125048227467314,0.0147204220541849,0.0166039126955207,2,"Coverage","5","4","0","sesonality2"
0.0127866888284461,0.0150238042692124,0.0167171610653762,3,"Coverage","5","4","0","sesonality2"
0.0130971323541887,0.0153228289458429,0.0169890385128212,4,"Coverage","5","4","0","sesonality2"
0.013227428868178,0.0154558249336826,0.0170793970972755,5,"Coverage","5","4","0","sesonality2"
0.0132026238870982,0.0156250253833165,0.017371340719294,6,"Coverage","5","4","0","sesonality2"
0.0134419922988956,0.0157291567128839,0.0175316351764927,7,"Coverage","5","4","0","sesonality2"
0.0137537046514942,0.016028972582162,0.0178073637079778,8,"Coverage","5","4","0","sesonality2"
0.0141580039333882,0.0164358453661502,0.0180936747076768,9,"Coverage","5","4","0","sesonality2"
0.0141187264492934,0.0164698687329527,0.0182243204654969,10,"Coverage","5","4","0","sesonality2"
0.0142478934847694,0.0165276110728235,0.0183835799412261,11,"Coverage","5","4","0","sesonality2"
0.0148806783445392,0.0172309319222756,0.0188873760869274,12,"Coverage","5","4","0","sesonality2"
0.0146840518034076,0.0169357712544137,0.0188980488398894,13,"Coverage","5","4","0","sesonality2"
0.0150214546772871,0.017517059474867,0.0192499900413382,14,"Coverage","5","4","0","sesonality2"
0.0149167161361381,0.0173390968255122,0.019280911043426,15,"Coverage","5","4","0","sesonality2"
0.0153808963957316,0.0177411569481729,0.0195820748533784,16,"Coverage","5","4","0","sesonality2"
0.0154079267036303,0.0178813554287665,0.0198953750530155,17,"Coverage","5","4","0","sesonality2"
0.0153095954226344,0.0179390254553108,0.0201380114318671,18,"Coverage","5","4","0","sesonality2"
0.0159025566162181,0.0185482267911608,0.0204181422922575,19,"Coverage","5","4","0","sesonality2"
0.0162806200900364,0.0187683879432692,0.0207005670450727,20,"Coverage","5","4","0","sesonality2"
0.0159092134014013,0.0186816921482008,0.0208490543603966,21,"Coverage","5","4","0","sesonality2"
0.0161426544907337,0.0186748159522688,0.0209221039497271,22,"Coverage","5","4","0","sesonality2"
0.0165485115476709,0.01930153940002,0.0213767811718052,23,"Coverage","5","4","0","sesonality2"
0.0167848386622618,0.0194751869659878,0.021689593209556,24,"Coverage","5","4","0","sesonality2"
0.0168317108393014,0.0195874743045432,0.0219392454646277,25,"Coverage","5","4","0","sesonality2"
0.0170639395474183,0.0200477409015591,0.022243085439775,26,"Coverage","5","4","0","sesonality2"
0.016868116315181,0.0199110885544873,0.0224882965082677,27,"Coverage","5","4","0","sesonality2"
0.0174136923594301,0.0205483221666847,0.0229200659135894,28,"Coverage","5","4","0","sesonality2"
0.0177115076239268,0.0207238608978425,0.0231418854752157,29,"Coverage","5","4","0","sesonality2"
0.017951714797438,0.0209769226632716,0.0233357414711634,30,"Coverage","5","4","0","sesonality2"
0.0181321492462158,0.0213260969612852,0.0237561988510646,31,"Coverage","5","4","0","sesonality2"
0.0178818422683696,0.0212588584181382,0.0237227977627337,32,"Coverage","5","4","0","sesonality2"
0.0187611705756484,0.0221282950828483,0.0242325503885873,33,"Coverage","5","4","0","sesonality2"
0.0181668001817084,0.0217250103407368,0.0243449950763199,34,"Coverage","5","4","0","sesonality2"
0.0186927062966953,0.0221348982539924,0.0247334706339546,35,"Coverage","5","4","0","sesonality2"
0.0189001736535862,0.0225593285321917,0.0247838590588787,36,"Coverage","5","4","0","sesonality2"
0.0190849117168213,0.0226573677660741,0.0251914732537633,37,"Coverage","5","4","0","sesonality2"
0.0189602042799532,0.0223057671939344,0.0252797500127955,38,"Coverage","5","4","0","sesonality2"
0.019499153625129,0.023153685087913,0.0255920166372545,39,"Coverage","5","4","0","sesonality2"
NA,NA,NA,40,"Coverage","5","4","0","sesonality2"
0.0136580502723677,0.0156400470940127,0.018129306145643,1,"Access","5","4","0","sesonality2"
0.0139277993035315,0.0158415075336852,0.0184862715648647,2,"Access","5","4","0","sesonality2"
0.0136918190136115,0.0159858544629277,0.0182549742855556,3,"Access","5","4","0","sesonality2"
0.0139045134313603,0.0163304479710187,0.0187261320754039,4,"Access","5","4","0","sesonality2"
0.014170763461325,0.0163472699421889,0.0189939246709282,5,"Access","5","4","0","sesonality2"
0.0146019988124416,0.016582559233846,0.019026979113223,6,"Access","5","4","0","sesonality2"
0.0141046496920122,0.0167787300478493,0.0194483981524141,7,"Access","5","4","0","sesonality2"
0.0150863345980484,0.0171531604171219,0.019868537347392,8,"Access","5","4","0","sesonality2"
0.014767679779836,0.0171871933082113,0.0197597880466441,9,"Access","5","4","0","sesonality2"
0.0147808011490193,0.0172059766864318,0.0199496296016286,10,"Access","5","4","0","sesonality2"
0.0151513474661648,0.0173751984794854,0.0199509608401089,11,"Access","5","4","0","sesonality2"
0.0152796709367288,0.0175848620217423,0.0200365194903465,12,"Access","5","4","0","sesonality2"
0.0149744644454078,0.0175679477275184,0.020199961884136,13,"Access","5","4","0","sesonality2"
0.0149889582402523,0.0176642403944111,0.0203869905713533,14,"Access","5","4","0","sesonality2"
0.0150979743395544,0.0175873732620461,0.0204919773296332,15,"Access","5","4","0","sesonality2"
0.0151821998672224,0.0179046692862795,0.0206231500286533,16,"Access","5","4","0","sesonality2"
0.0155630954109125,0.0179407712725294,0.0206416293132364,17,"Access","5","4","0","sesonality2"
0.0155442890917277,0.0182290782039729,0.0209111442994468,18,"Access","5","4","0","sesonality2"
0.0154813624675303,0.0180658913158988,0.0209729234885213,19,"Access","5","4","0","sesonality2"
0.0155691812852611,0.0181994748867307,0.020901776744198,20,"Access","5","4","0","sesonality2"
