"Coverage","Access","EIR","Indicator","Age","Number_round","Seasonality","Coverage_reduction","Time_0.1","Prevalance"
0.95,0.4,125,0.0190879773736564,5,4,"sesonality2",0,40.1222871006088,NA
0.75,0.1,135,0.0129092938687956,5,4,"sesonality2",0,59.3257319989428,NA
0.85,0.1,135,0.0153738824303022,5,4,"sesonality2",0,49.8152182331156,NA
0.95,0.1,135,0.0178718207349882,5,4,"sesonality2",0,42.8525621262769,NA
0.75,0.4,135,0.0143004792282219,5,4,"sesonality2",0,53.5543806702895,NA
0.85,0.4,135,0.0167785659772079,5,4,"sesonality2",0,45.6447415944906,NA
0.95,0.4,135,0.0192495443324418,5,4,"sesonality2",0,39.7855292119851,NA
0.75,0.1,145,0.0130313749031714,5,4,"sesonality2",0,58.7699543637088,NA
0.85,0.1,145,0.0155093808351868,5,4,"sesonality2",0,49.3800053331748,NA
0.95,0.1,145,0.0179641559193797,5,4,"sesonality2",0,42.6323013334328,NA
0.75,0.4,145,0.0145855595671165,5,4,"sesonality2",0,52.5076398222252,NA
0.85,0.4,145,0.0170335487071773,5,4,"sesonality2",0,44.9614652543344,NA
0.95,0.4,145,0.0194097197530487,5,4,"sesonality2",0,39.4572058793107,NA
0.75,0.1,155,0.0131299618127808,5,4,"sesonality2",0,58.3286775145285,NA
0.85,0.1,155,0.0156154606461866,5,4,"sesonality2",0,49.0445543495889,NA
0.95,0.1,155,0.0180315496359632,5,4,"sesonality2",0,42.472961216173,NA
0.75,0.4,155,0.0148759724152429,5,4,"sesonality2",0,51.482571154207,NA
0.85,0.4,155,0.0172872758792406,5,4,"sesonality2",0,44.3015610849039,NA
0.95,0.4,155,0.0195654115654029,5,4,"sesonality2",0,39.14322506305,NA
0.75,0.1,5,0.00391514642562403,5,4,"sesonality3",0,110,NA
0.85,0.1,5,0.00486745458327029,5,4,"sesonality3",0,110,0.191759494732564
0.95,0.1,5,0.00630361936475521,5,4,"sesonality3",0,110,NA
0.75,0.4,5,0.00406606409687914,5,4,"sesonality3",0,110,0.106411022999725
0.85,0.4,5,0.00482329573490625,5,4,"sesonality3",0,110,0.106411022999725
0.95,0.4,5,0.00600774421686071,5,4,"sesonality3",0,110,0.106411022999725
0.75,0.1,15,0.00481881691780878,5,4,"sesonality3",0,110,0.241461869011354
0.85,0.1,15,0.00584846142080617,5,4,"sesonality3",0,110,0.23117635207289
0.95,0.1,15,0.00728707039224594,5,4,"sesonality3",0,110,0.241461869011354
0.75,0.4,15,0.00516400280945866,5,4,"sesonality3",0,110,0.136388439334997
0.85,0.4,15,0.00607663398643208,5,4,"sesonality3",0,110,0.136388439334997
0.95,0.4,15,0.00732514969241309,5,4,"sesonality3",0,110,0.136388439334997
0.75,0.1,25,0.00570557328261617,5,4,"sesonality3",0,110,0.281728069811674
0.85,0.1,25,0.00681107579837989,5,4,"sesonality3",0,110,0.277553140943541
0.95,0.1,25,0.00825433650131054,5,4,"sesonality3",0,92.7819344697385,0.281728069811674
0.75,0.4,25,0.00625828754734328,5,4,"sesonality3",0,110,0.156670937542734
0.85,0.4,25,0.00733201422053764,5,4,"sesonality3",0,110,0.156670937542734
0.95,0.4,25,0.00865358333077073,5,4,"sesonality3",0,88.5012923643452,0.156670937542734
0.75,0.1,35,0.00651112525293151,5,4,"sesonality3",0,110,0.319898323302595
0.85,0.1,35,0.00768850079244381,5,4,"sesonality3",0,99.6102268869425,0.309805441117775
0.95,0.1,35,0.00914214394884232,5,4,"sesonality3",0,83.7717402658865,0.319898323302595
0.75,0.4,35,0.00728033361322127,5,4,"sesonality3",0,110,0.190177027101889
0.85,0.4,35,0.00851618928150105,5,4,"sesonality3",0,89.9291083183601,0.190177027101889
0.95,0.4,35,0.00992170548968866,5,4,"sesonality3",0,77.1896836840898,0.190177027101889
0.75,0.1,45,0.00718480255149818,5,4,"sesonality3",0,110,0.334202780127382
0.85,0.1,45,0.0084274635680171,5,4,"sesonality3",0,90.8758966650701,0.335812569152614
0.95,0.1,45,0.00989906491498993,5,4,"sesonality3",0,77.366227510646,0.334202780127382
0.75,0.4,45,0.0081757193199704,5,4,"sesonality3",0,93.6741194728952,0.216420115689203
0.85,0.4,45,0.0095693512847802,5,4,"sesonality3",0,80.031894071423,0.216420115689203
0.95,0.4,45,0.0110692241742244,5,4,"sesonality3",0,69.1876229355911,0.216420115689203
0.75,0.1,55,0.00770786933556079,5,4,"sesonality3",0,99.3599236072215,0.353979048038303
0.85,0.1,55,0.00900723292304435,5,4,"sesonality3",0,85.0264798189447,0.350393059529384
0.95,0.1,55,0.0105034392330149,5,4,"sesonality3",0,72.9145274576827,0.353979048038303
0.75,0.4,55,0.00892386741323762,5,4,"sesonality3",0,85.8207851922701,0.220533901565025
0.85,0.4,55,0.01046587728178,5,4,"sesonality3",0,73.1762171231491,0.220533901565025
0.95,0.4,55,0.0120667205330234,5,4,"sesonality3",0,63.4682228912015,0.220533901565025
0.75,0.1,65,0.00808522718744423,5,4,"sesonality3",0,94.7225465160805,0.377728016390315
0.85,0.1,65,0.00943136230939886,5,4,"sesonality3",0,81.2028297961315,0.369109625845897
0.95,0.1,65,0.0109560841619592,5,4,"sesonality3",0,69.9021016117141,0.377728016390315
0.75,0.4,65,0.00952835430838501,5,4,"sesonality3",0,80.3762416435133,0.231392563060374
0.85,0.4,65,0.0112050124840136,5,4,"sesonality3",0,68.3491704670943,0.231392563060374
0.95,0.4,65,0.0129077608564926,5,4,"sesonality3",0,59.3327779210086,0.231392563060374
0.75,0.1,75,0.00833862889059008,5,4,"sesonality3",0,91.8440331623356,0.390457115263629
0.85,0.1,75,0.00972036218327771,5,4,"sesonality3",0,78.7885568372432,0.388899297765121
0.95,0.1,75,0.0112734595414962,5,4,"sesonality3",0,67.9341869757684,0.390457115263629
0.75,0.4,75,0.0100073145101709,5,4,"sesonality3",0,76.5293533622224,0.246030365995425
0.85,0.4,75,0.0118010209098187,5,4,"sesonality3",0,64.8972079795706,0.246030365995425
0.95,0.4,75,0.0136001245284093,5,4,"sesonality3",0,56.3122276385023,0.246030365995425
0.75,0.1,85,0.00850229644480453,5,4,"sesonality3",0,90.0760533730569,0.401606246148457
0.85,0.1,85,0.00990700017601573,5,4,"sesonality3",0,77.3042590843847,0.399867632200753
0.95,0.1,85,0.0114832259082199,5,4,"sesonality3",0,66.6932196994884,0.401606246148457
0.75,0.4,85,0.0103889964457341,5,4,"sesonality3",0,73.7177370649921,0.259427472390618
0.85,0.4,85,0.0122786250516581,5,4,"sesonality3",0,62.3728882618126,0.259427472390618
0.95,0.4,85,0.0141617160042974,5,4,"sesonality3",0,54.0791319444174,0.259427472390618
0.75,0.1,95,0.00861721646091896,5,4,"sesonality3",0,88.8747905810518,0.411926791799556
0.85,0.1,95,0.0100307433873871,5,4,"sesonality3",0,76.3506032183782,0.415278569013781
0.95,0.1,95,0.0116192877421821,5,4,"sesonality3",0,65.9122422431668,0.411926791799556
0.75,0.4,95,0.0107082847895308,5,4,"sesonality3",0,71.5196993177204,0.271786183281881
0.85,0.4,95,0.0126697579856341,5,4,"sesonality3",0,60.4473510247113,0.271786183281881
0.95,0.4,95,0.0146178019357517,5,4,"sesonality3",0,52.3918241416767,0.271786183281881
0.75,0.1,105,0.00872262093457963,5,4,"sesonality3",0,87.8008243278858,0.427622183446306
0.85,0.1,105,0.0101299410661721,5,4,"sesonality3",0,75.6029381960821,0.429020292933151
0.95,0.1,105,0.0117152651116022,5,4,"sesonality3",0,65.3722558610561,0.427622183446306
0.75,0.4,105,0.0109994773692919,5,4,"sesonality3",0,69.6263361106463,0.2832356950965
0.85,0.4,105,0.0130070480003807,5,4,"sesonality3",0,58.8798710001952,0.2832356950965
0.95,0.4,105,0.0149956749455257,5,4,"sesonality3",0,51.0716130576219,0.2832356950965
0.75,0.1,115,0.00884550493915449,5,4,"sesonality3",0,86.5810729431315,NA
0.85,0.1,115,0.0102326342547221,5,4,"sesonality3",0,74.8441984039782,NA
0.95,0.1,115,0.0117972971817162,5,4,"sesonality3",0,64.9176922950377,NA
0.75,0.4,115,0.0112851935752609,5,4,"sesonality3",0,67.8635508773771,NA
0.85,0.4,115,0.013313850511605,5,4,"sesonality3",0,57.5230514784743,NA
0.95,0.4,115,0.0153165787110115,5,4,"sesonality3",0,50.001591269542,NA
0.75,0.1,125,0.00900255500156035,5,4,"sesonality3",0,85.0706614092361,NA
0.85,0.1,125,0.0103590958730168,5,4,"sesonality3",0,73.9305164990942,NA
0.95,0.1,125,0.01188714329158,5,4,"sesonality3",0,64.4270275515431,NA
0.75,0.4,125,0.011577338911718,5,4,"sesonality3",0,66.151065818813,NA
0.85,0.4,125,0.0136055889369677,5,4,"sesonality3",0,56.2896109755945,NA
0.95,0.4,125,0.0155974787496349,5,4,"sesonality3",0,49.1010964431474,NA
0.75,0.1,135,0.00920222067998006,5,4,"sesonality3",0,83.2248361552468,NA
0.85,0.1,135,0.0105235070972,5,4,"sesonality3",0,72.7754826677062,NA
0.95,0.1,135,0.0120035053484513,5,4,"sesonality3",0,63.8024715384141,NA
0.75,0.4,135,0.0118787404233017,5,4,"sesonality3",0,64.4726024026456,NA
0.85,0.4,135,0.0138908762514911,5,4,"sesonality3",0,55.1335491361502,NA
0.95,0.4,135,0.0158517629994935,5,4,"sesonality3",0,48.3134467995918,NA
0.75,0.1,145,0.00944119745139174,5,4,"sesonality3",0,81.1182386872832,NA
0.85,0.1,145,0.0107292533419549,5,4,"sesonality3",0,71.3799258855255,NA
0.95,0.1,145,0.0121565541684859,5,4,"sesonality3",0,62.9992099522023,NA
0.75,0.4,145,0.012179810932636,5,4,"sesonality3",0,62.8789159857687,NA
0.85,0.4,145,0.0141670457984926,5,4,"sesonality3",0,54.0587867964155,NA
0.95,0.4,145,0.0160840505745784,5,4,"sesonality3",0,47.6156988443092,NA
0.75,0.1,155,0.0097082112113995,5,4,"sesonality3",0,78.8871700129979,NA
0.85,0.1,155,0.0109718178006957,5,4,"sesonality3",0,69.8018616666424,NA
0.95,0.1,155,0.0123496541544977,5,4,"sesonality3",0,62.0141502567376,NA
0.75,0.4,155,0.0124638490830853,5,4,"sesonality3",0,61.4459709236296,NA
0.85,0.4,155,0.01442468870038,5,4,"sesonality3",0,53.0932295499443,NA
0.95,0.4,155,0.0162935680755392,5,4,"sesonality3",0,47.0034129298853,NA
0.75,0.1,5,0.00642340564809218,5,4.5,"sesonality2",0,110,0.171866482088326
0.85,0.1,5,0.00739078172590226,5,4.5,"sesonality2",0,110,0.1805868710145
0.95,0.1,5,0.00874044466456447,5,4.5,"sesonality2",0,87.6217787249074,0.171866482088326
0.75,0.4,5,0.00653527600462144,5,4.5,"sesonality2",0,110,0.0830001829295434
0.85,0.4,5,0.00770240829872589,5,4.5,"sesonality2",0,99.4303701716838,0.0830001829295434
0.95,0.4,5,0.00896595914837491,5,4.5,"sesonality2",0,85.4178895622758,0.0830001829295434
0.75,0.1,15,0.00904445389139324,5,4.5,"sesonality2",0,84.6765672700876,0.247495815828381
0.85,0.1,15,0.0105883290249029,5,4.5,"sesonality2",0,72.3299499434271,0.248993732221783
0.95,0.1,15,0.0122853498526722,5,4.5,"sesonality2",0,62.3387463556182,0.247495815828381
0.75,0.4,15,0.00894841852325833,5,4.5,"sesonality2",0,85.5853250901478,0.137001431448641
0.85,0.4,15,0.0106901775738615,5,4.5,"sesonality2",0,71.6408406749341,0.137001431448641
0.95,0.4,15,0.0123106393231975,5,4.5,"sesonality2",0,62.2106852657631,0.137001431448641
0.75,0.1,25,0.011182675446904,5,4.5,"sesonality2",0,68.4856957525131,0.300904132321922
0.85,0.1,25,0.01323244310825,5,4.5,"sesonality2",0,57.8769394351886,0.287614427416964
0.95,0.1,25,0.0152689599157295,5,4.5,"sesonality2",0,50.1575295621028,0.300904132321922
0.75,0.4,25,0.0109483211135521,5,4.5,"sesonality2",0,69.9516665991619,0.17938386441634
0.85,0.4,25,0.0131879426367593,5,4.5,"sesonality2",0,58.0722353326797,0.17938386441634
0.95,0.4,25,0.0151515736515363,5,4.5,"sesonality2",0,50.5461231928283,0.17938386441634
0.75,0.1,35,0.0126972750726616,5,4.5,"sesonality2",0,60.3163516560115,0.320739427879297
0.85,0.1,35,0.0151421709947515,5,4.5,"sesonality2",0,50.5775102276431,0.320021331650414
0.95,0.1,35,0.0174868845939384,5,4.5,"sesonality2",0,43.795869083578,0.320739427879297
0.75,0.4,35,0.0124623766286537,5,4.5,"sesonality2",0,61.4532308865473,0.197522821342399
0.85,0.4,35,0.0150860839412805,5,4.5,"sesonality2",0,50.7655473306853,0.197522821342399
0.95,0.4,35,0.0173539556908268,5,4.5,"sesonality2",0,44.1313393902803,0.197522821342399
0.75,0.1,45,0.013741850367658,5,4.5,"sesonality2",0,55.7314544887078,0.349019674259835
0.85,0.1,45,0.0164606063853273,5,4.5,"sesonality2",0,46.5264334999489,0.348283340847998
0.95,0.1,45,0.0190606984966699,5,4.5,"sesonality2",0,40.1797084450798,0.349019674259835
0.75,0.4,45,0.0136849778370959,5,4.5,"sesonality2",0,55.9630653021421,0.221514478633562
0.85,0.4,45,0.0165709405435889,5,4.5,"sesonality2",0,46.2166469272659,0.221514478633562
0.95,0.4,45,0.01908125437974,5,4.5,"sesonality2",0,40.1364235869592,0.221514478633562
0.75,0.1,55,0.0144968816814547,5,4.5,"sesonality2",0,52.8288307226436,0.369993459583761
0.85,0.1,55,0.017369565482284,5,4.5,"sesonality2",0,44.091679157829,0.371642089396336
0.95,0.1,55,0.0201568998460386,5,4.5,"sesonality2",0,37.9945980882708,0.369993459583761
0.75,0.4,55,0.0147726095386614,5,4.5,"sesonality2",0,51.8427909673949,0.239750691757973
0.85,0.4,55,0.0177983790862857,5,4.5,"sesonality2",0,43.0293851278785,0.239750691757973
0.95,0.4,55,0.020472581863539,5,4.5,"sesonality2",0,37.4087310267263,0.239750691757973
0.75,0.1,65,0.015067567997516,5,4.5,"sesonality2",0,50.8279311221306,0.392666824004721
0.85,0.1,65,0.0179849131032886,5,4.5,"sesonality2",0,42.5830975083068,0.389195095846567
0.95,0.1,65,0.0208887148348026,5,4.5,"sesonality2",0,36.6634957876768,0.392666824004721
0.75,0.4,65,0.0157567296523092,5,4.5,"sesonality2",0,48.6048390278454,0.259023733939406
0.85,0.4,65,0.0188061028318582,5,4.5,"sesonality2",0,40.7236584423212,0.259023733939406
0.95,0.4,65,0.0215623305893168,5,4.5,"sesonality2",0,35.5181136465467,0.259023733939406
0.75,0.1,75,0.0155275791030232,5,4.5,"sesonality2",0,49.3221321414268,0.403213198580104
0.85,0.1,75,0.0184033665264486,5,4.5,"sesonality2",0,41.6148484167344,0.404051611972265
0.95,0.1,75,0.0213625269854319,5,4.5,"sesonality2",0,35.8503143789139,0.403213198580104
0.75,0.4,75,0.0166230169398003,5,4.5,"sesonality2",0,46.0718599475219,0.269816831458165
0.85,0.4,75,0.0195990646125135,5,4.5,"sesonality2",0,39.0760132433456,0.269816831458165
0.95,0.4,75,0.0223654735541984,5,4.5,"sesonality2",0,34.242660076026,0.269816831458165
0.75,0.1,85,0.0159306116245606,5,4.5,"sesonality2",0,48.0743192041059,0.416729658717064
0.85,0.1,85,0.0187136350358976,5,4.5,"sesonality2",0,40.92488214538,0.41792667401609
0.95,0.1,85,0.0216879205709108,5,4.5,"sesonality2",0,35.3124360563628,0.416729658717064
0.75,0.4,85,0.0173659479017597,5,4.5,"sesonality2",0,44.1008640984209,0.280366876622461
0.85,0.4,85,0.0202062550879982,5,4.5,"sesonality2",0,37.9017935297993,0.280366876622461
0.95,0.4,85,0.0229326018319596,5,4.5,"sesonality2",0,33.3958315749609,0.280366876622461
0.75,0.1,95,0.0162974541391007,5,4.5,"sesonality2",0,46.9922051517442,0.427181806665598
0.85,0.1,95,0.0189799615007839,5,4.5,"sesonality2",0,40.3506249643412,0.428805126172194
0.95,0.1,95,0.0219600150604093,5,4.5,"sesonality2",0,34.8748990494313,0.427181806665598
0.75,0.4,95,0.017992933928838,5,4.5,"sesonality2",0,42.5641149678375,0.293994164810167
0.85,0.4,95,0.0206816838033768,5,4.5,"sesonality2",0,37.030510457312,0.293994164810167
0.95,0.4,95,0.0233492079208673,5,4.5,"sesonality2",0,32.799969530072,0.293994164810167
0.75,0.1,105,0.0166285864902867,5,4.5,"sesonality2",0,46.0564287170846,0.436953537685843
0.85,0.1,105,0.0192461020580834,5,4.5,"sesonality2",0,39.7926450792203,0.439110786591553
0.95,0.1,105,0.0222552727107115,5,4.5,"sesonality2",0,34.4122185475247,0.436953537685843
0.75,0.4,105,0.0185193684105696,5,4.5,"sesonality2",0,41.354180735379,0.30313192947885
0.85,0.4,105,0.0210892440449204,5,4.5,"sesonality2",0,36.3148772295718,0.30313192947885
0.95,0.4,105,0.0237128455166237,5,4.5,"sesonality2",0,32.2969804622929,0.30313192947885
0.75,0.1,115,0.0169227688633563,5,4.5,"sesonality2",0,45.2557920361428,NA
0.85,0.1,115,0.0195433429913309,5,4.5,"sesonality2",0,39.1874260557923,NA
0.95,0.1,115,0.0226281908957654,5,4.5,"sesonality2",0,33.8450966709445,NA
0.75,0.4,115,0.0189629465149652,5,4.5,"sesonality2",0,40.386830588346,NA
0.85,0.4,115,0.0214852347438558,5,4.5,"sesonality2",0,35.6455639180196,NA
0.95,0.4,115,0.0241055033107899,5,4.5,"sesonality2",0,31.7708905921479,NA
0.75,0.1,125,0.0171869879321029,5,4.5,"sesonality2",0,44.5600655205707,NA
0.85,0.1,125,0.0198963355443688,5,4.5,"sesonality2",0,38.4921789566683,NA
0.95,0.1,125,0.0231133861175016,5,4.5,"sesonality2",0,33.1346218361254,NA
0.75,0.4,125,0.0193448196732797,5,4.5,"sesonality2",0,39.5895811535328,NA
0.85,0.4,125,0.0219140984863027,5,4.5,"sesonality2",0,34.9479723673989,NA
0.95,0.4,125,0.0245851404091471,5,4.5,"sesonality2",0,31.1510650584213,NA
0.75,0.1,135,0.0174160684369283,5,4.5,"sesonality2",0,43.9739491797059,NA
0.85,0.1,135,0.0203004704578145,5,4.5,"sesonality2",0,37.7258896510429,NA
0.95,0.1,135,0.0237041242325058,5,4.5,"sesonality2",0,32.3088632528149,NA
0.75,0.4,135,0.0196718112193477,5,4.5,"sesonality2",0,38.9315096518682,NA
0.85,0.4,135,0.0223872725739802,5,4.5,"sesonality2",0,34.2093171834556,NA
0.95,0.4,135,0.0251643908635798,5,4.5,"sesonality2",0,30.434009410662,NA
0.75,0.1,145,0.0175795671826323,5,4.5,"sesonality2",0,43.5649695125822,NA
0.85,0.1,145,0.0207076548518775,5,4.5,"sesonality2",0,36.9840676713002,NA
0.95,0.1,145,0.0243400519950129,5,4.5,"sesonality2",0,31.4647359222028,NA
0.75,0.4,145,0.0199252427387905,5,4.5,"sesonality2",0,38.4363351752198,NA
0.85,0.4,145,0.0228694244641062,5,4.5,"sesonality2",0,33.4880884106978,NA
0.95,0.4,145,0.0257973627613502,5,4.5,"sesonality2",0,29.6872713478748,NA
0.75,0.1,155,0.017670880559219,5,4.5,"sesonality2",0,43.3398497482467,NA
0.85,0.1,155,0.021080362058298,5,4.5,"sesonality2",0,36.3301781173296,NA
0.95,0.1,155,0.024962414123411,5,4.5,"sesonality2",0,30.6802581100323,NA
0.75,0.4,155,0.0201103567344254,5,4.5,"sesonality2",0,38.0825322230489,NA
0.85,0.4,155,0.0233319427066055,5,4.5,"sesonality2",0,32.8242409123928,NA
0.95,0.4,155,0.0264335392454709,5,4.5,"sesonality2",0,28.9727872323032,NA
0.75,0.1,5,0.00683684146680385,5,4.5,"sesonality3",0,110,0.191759494732564
0.85,0.1,5,0.00733388423045432,5,4.5,"sesonality3",0,110,NA
0.95,0.1,5,0.00820999605497089,5,4.5,"sesonality3",0,93.2830300073123,0.191759494732564
0.75,0.4,5,0.00517916394723068,5,4.5,"sesonality3",0,110,0.106411022999725
0.85,0.4,5,0.00607376729648773,5,4.5,"sesonality3",0,110,0.106411022999725
0.95,0.4,5,0.00719405074058207,5,4.5,"sesonality3",0,110,0.106411022999725
0.75,0.1,15,0.00784578539014543,5,4.5,"sesonality3",0,97.6133389166752,0.23117635207289
0.85,0.1,15,0.00861289397652253,5,4.5,"sesonality3",0,88.9193934632619,0.241461869011354
0.95,0.1,15,0.00964228935659437,5,4.5,"sesonality3",0,79.4265013248122,0.23117635207289
0.75,0.4,15,0.00646052968510717,5,4.5,"sesonality3",0,110,0.136388439334997
