"EIR","IC50_SP","Indicator_40_b"
"100",59.4684207868236,10.875
"150",59.4684207868236,10.75
"5",84.5358617155812,0
"50",84.5358617155812,0
"100",84.5358617155812,0
"150",84.5358617155812,0
"5",17.3984167048105,20
"50",17.3984167048105,25
"100",17.3984167048105,25
"150",17.3984167048105,25
"5",11.3275372418373,22.75
"50",11.3275372418373,25
"100",11.3275372418373,25.5
"150",11.3275372418373,25.5
"5",73.4461362426354,2
"50",73.4461362426354,5.5
"100",73.4461362426354,5.25
"150",73.4461362426354,6.5
"5",83.5889742237996,0.5
"50",83.5889742237996,0
"100",83.5889742237996,0
"150",83.5889742237996,0
"5",95.7274375729821,0
"50",95.7274375729821,0
"100",95.7274375729821,0
"150",95.7274375729821,0
"5",20.0157919643488,19.75
"50",20.0157919643488,24
"100",20.0157919643488,24.75
"150",20.0157919643488,24.875
"5",80.1852356860825,0.25
"50",80.1852356860825,0.25
"100",80.1852356860825,0.25
"150",80.1852356860825,0.5
"5",97.1796909824066,0
"50",97.1796909824066,0
"100",97.1796909824066,0
"150",97.1796909824066,0
"5",71.5834748483734,2.5
"50",71.5834748483734,9
"100",71.5834748483734,8.5
"150",71.5834748483734,8.875
"5",67.6046283955848,5
"50",67.6046283955848,10
"100",67.6046283955848,10
"150",67.6046283955848,10
"5",93.8283453591655,0
"50",93.8283453591655,0
"100",93.8283453591655,0
"150",93.8283453591655,0
"5",61.5775913137111,8.375
"50",61.5775913137111,10
"100",61.5775913137111,10
"150",61.5775913137111,10
"5",62.9932643532541,6.75
"50",62.9932643532541,10
"100",62.9932643532541,10
"150",62.9932643532541,10
"5",74.917018614896,1.5
"50",74.917018614896,3
"100",74.917018614896,4
"150",74.917018614896,4.25
"5",0.390156231856126,40
"50",0.390156231856126,40
"100",0.390156231856126,40
"150",0.390156231856126,40
"5",68.3869062549592,3.75
"50",68.3869062549592,10
"100",68.3869062549592,10
"150",68.3869062549592,10
"5",23.4778991631348,19.5
"50",23.4778991631348,20.25
"100",23.4778991631348,21.625
"150",23.4778991631348,21.5
"5",18.3607773089861,20
"50",18.3607773089861,24.5
"100",18.3607773089861,25
"150",18.3607773089861,25
"5",43.317166507401,14.375
"50",43.317166507401,15
"100",43.317166507401,15
"150",43.317166507401,15.5
"5",30.9621782384508,15.75
"50",30.9621782384508,20
"100",30.9621782384508,20
"150",30.9621782384508,20
"5",13.526237797451,20.75
"50",13.526237797451,25
"100",13.526237797451,25
"150",13.526237797451,25
"5",22.3313167171935,19.625
"50",22.3313167171935,21
"100",22.3313167171935,22.25
"150",22.3313167171935,23
"5",39.9148165435991,15
"50",39.9148165435991,17.25
"100",39.9148165435991,18
"150",39.9148165435991,18.25
"5",76.3917947191315,1
"50",76.3917947191315,2.75
"100",76.3917947191315,1.5
"150",76.3917947191315,2.5
"5",98.5224054488396,0
"50",98.5224054488396,0
"100",98.5224054488396,0
"150",98.5224054488396,0
