"Survey","nPatent_1","nPatent_2","nPatent_3","nPatent_4"
847,2119,3256,5602,17136
848,2163,3345,5860,18688
849,2221,3448,6085,20378
850,2289,3563,6219,22031
851,2378,3595,6414,23867
852,2393,3560,6585,25768
853,2453,3546,6518,27486
854,2457,3526,6579,29009
855,2485,3532,6622,30263
856,2503,3524,6634,31287
857,2505,3520,6599,31858
858,2525,3487,6480,32419
859,2480,3483,6455,32728
860,2459,3498,6307,32808
861,2440,3526,6201,32667
862,2436,3463,6204,32463
863,2393,3437,6126,32181
864,2351,3406,6095,31494
865,2307,3399,6031,30869
866,2256,3274,5926,29979
867,2244,3238,5891,29190
868,2276,3187,5774,28247
869,2197,3110,5725,27110
870,2177,3088,5589,25860
871,2101,3040,5510,24485
872,2058,3005,5438,23485
873,2049,2976,5305,22182
874,2052,2884,5242,20983
875,1958,2806,5122,19818
876,1919,2789,5024,18743
877,1849,2732,4971,17813
878,1785,2680,4818,16639
879,1688,2610,4694,15849
880,1662,2483,4614,14994
881,1606,2418,4499,14294
882,1530,2375,4288,13531
883,1452,2241,4183,12781
884,1425,2167,3972,12094
885,1370,2133,3828,11532
886,1306,2062,3656,10975
887,1250,1967,3510,10433
888,1186,1874,3424,9883
889,1155,1834,3307,9465
890,1093,1728,3211,9139
891,1028,1635,3095,8763
892,968,1628,2978,8533
893,1006,1625,2865,8268
894,967,1582,2786,7936
895,960,1464,2675,7756
896,892,1461,2612,7547
897,882,1441,2534,7228
898,908,1421,2489,7144
899,916,1339,2405,6975
900,894,1329,2397,6892
901,889,1294,2434,6929
902,887,1301,2456,6817
903,906,1339,2439,6844
904,947,1397,2518,6865
905,997,1443,2622,7008
906,998,1509,2724,7221
907,1039,1548,2803,7407
908,1125,1668,2873,7740
909,1215,1780,3031,8233
910,1295,1878,3276,8568
911,1346,2037,3480,9051
912,1445,2208,3729,9643
913,1520,2384,3967,10223
914,1622,2619,4224,10923
915,1746,2713,4462,11698
916,1826,2856,4743,12625
917,1975,2941,4945,13481
918,2060,3029,5182,14559
919,2124,3124,5383,15756
920,2145,3316,5686,17080
921,2223,3387,5887,18690
922,2319,3502,6051,20392
923,2379,3539,6222,22114
924,2432,3564,6423,23959
925,2493,3590,6561,25567
926,2476,3606,6639,27573
927,2450,3605,6642,28969
928,2437,3598,6683,30123
929,2481,3513,6582,31320
930,2480,3427,6490,31862
931,2488,3471,6398,32582
932,2479,3458,6369,32816
933,2430,3434,6319,32873
934,2415,3436,6281,32642
935,2401,3427,6160,32489
936,2384,3384,6119,32044
937,2370,3358,6092,31496
938,2360,3342,5992,30975
939,2331,3317,6050,29924
940,2323,3270,6054,29162
941,2316,3200,6017,28289
942,2287,3222,5935,27152
943,2188,3103,5798,26077
944,2164,3085,5662,24787
945,2121,3009,5531,23443
946,2068,2925,5428,22197
947,2040,2860,5296,21053
948,2018,2826,5158,19879
949,1971,2770,4936,18926
950,1887,2701,4814,17859
951,1809,2583,4648,16964
952,1727,2462,4599,15963
953,1645,2430,4468,15165
954,1571,2381,4340,14349
955,1479,2334,4243,13514
956,1441,2279,4091,12973
957,1380,2249,3924,12298
958,1369,2128,3793,11710
959,1288,1985,3696,11103
960,1185,1931,3577,10697
961,1144,1860,3479,10149
962,1085,1790,3311,9803
963,1038,1713,3173,9386
964,1027,1639,3054,8991
965,1027,1574,2930,8644
966,988,1505,2901,8258
967,966,1472,2819,7969
968,947,1445,2665,7729
969,952,1443,2648,7441
970,916,1416,2597,7282
971,902,1406,2601,7066
972,882,1410,2574,6996
973,852,1426,2506,6988
974,886,1412,2499,6772
975,880,1398,2463,6829
976,874,1428,2473,6825
977,929,1426,2560,6768
978,969,1465,2622,6910
979,995,1504,2702,7073
980,1046,1643,2801,7397
981,1094,1752,2916,7655
982,1130,1855,3098,7953
983,1295,2008,3267,8466
984,1342,2117,3470,9096
985,1435,2235,3729,9674
986,1561,2391,3921,10402
987,1616,2553,4250,11032
988,1770,2649,4498,11816
989,1897,2782,4670,12837
990,1971,2935,4913,13666
991,2023,3043,5202,14846
992,2082,3134,5394,15992
993,2135,3264,5624,17381
994,2214,3323,5874,18925
995,2301,3421,6024,20505
996,2357,3497,6280,22250
997,2407,3554,6469,24037
998,2450,3537,6637,25717
999,2505,3532,6650,27417
1000,2534,3566,6628,28968
1001,2513,3599,6604,30093
1002,2514,3619,6598,31311
1003,2439,3543,6660,32061
1004,2435,3518,6576,32585
1005,2468,3459,6510,32924
1006,2440,3408,6488,32920
1007,2446,3395,6378,32990
1008,2362,3381,6293,32609
1009,2373,3374,6215,32275
1010,2401,3300,6170,31629
1011,2337,3268,6125,30840
1012,2308,3226,6042,30005
1013,2245,3148,5974,29120
1014,2175,3176,5877,28263
1015,2119,3109,5781,27166
1016,2126,3093,5730,25972
1017,2103,3053,5580,24821
1018,2110,2978,5504,23615
1019,2053,2973,5403,22379
1020,2037,2883,5252,21191
1021,2004,2895,5215,20023
1022,1969,2805,5012,18795
1023,1902,2761,4874,17821
1024,1861,2680,4787,16931
1025,1778,2531,4694,15723
1026,1705,2514,4641,14894
1027,1642,2439,4432,14102
1028,1563,2316,4261,13463
1029,1532,2221,4147,12740
1030,1427,2139,4010,12141
1031,1405,2091,3885,11565
1032,1337,2010,3796,11082
1033,1274,1956,3589,10618
1034,1212,1856,3427,10252
1035,1157,1790,3312,9560
1036,1102,1724,3262,9238
1037,1065,1654,3110,8831
1038,1037,1602,2985,8493
1039,1031,1545,2857,8215
1040,979,1546,2801,7946
1041,939,1496,2702,7678
1042,910,1479,2632,7439
1043,906,1425,2571,7189
1044,856,1376,2502,6947
1045,890,1362,2426,6900
1046,865,1379,2385,6642
1047,865,1351,2331,6601
1048,854,1398,2354,6554
1049,886,1403,2408,6643
1050,888,1442,2485,6750
1051,918,1472,2526,6927
1052,981,1526,2682,7075
1053,1024,1622,2782,7371
1054,1075,1729,2884,7777
1055,1122,1805,3004,8100
1056,1252,1958,3249,8512
1057,1322,2081,3456,9150
1058,1371,2229,3704,9610
1059,1506,2398,3979,10097
1060,1585,2503,4272,10941
1061,1730,2637,4500,11654
1062,1826,2716,4744,12692
1063,1906,2918,4958,13619
1064,1997,3015,5252,14712
1065,2147,3099,5457,15890
1066,2204,3264,5675,17197
1067,2272,3382,5926,18642
1068,2312,3411,6082,20472
1069,2348,3413,6304,22273
1070,2403,3508,6405,24126
1071,2442,3540,6559,25786
1072,2466,3549,6577,27289
1073,2512,3526,6705,28808
1074,2475,3505,6697,30052
1075,2461,3432,6681,31086
1076,2482,3453,6679,31730
1077,2493,3459,6592,32199
1078,2453,3536,6510,32665
1079,2408,3544,6364,32869
1080,2459,3435,6332,32731
1081,2433,3402,6321,32526
1082,2376,3400,6303,32265
1083,2384,3322,6206,31678
1084,2323,3353,6168,31111
1085,2303,3244,6078,30334
1086,2301,3134,6033,29522
1087,2266,3125,5866,28392
1088,2259,3087,5800,27342
1089,2225,2989,5646,26032
1090,2229,2924,5580,24836
1091,2171,2906,5469,23715
1092,2082,2911,5361,22444
1093,1972,2843,5278,21061
1094,1912,2785,5090,19907
1095,1889,2773,5021,18658
1096,1865,2687,4869,17869
1097,1838,2673,4801,16811
1098,1818,2565,4751,15960
1099,1741,2500,4667,15025
1100,1640,2458,4523,14179
1101,1578,2362,4435,13397
1102,1502,2266,4260,12768
1103,1420,2187,4136,12073
1104,1390,2101,3899,11503
1105,1287,1987,3739,11045
1106,1264,1924,3586,10492
1107,1210,1846,3450,10154
1108,1140,1783,3223,9695
1109,1070,1750,3094,9261
1110,1043,1677,3036,8973
1111,1008,1618,2982,8609
1112,1002,1570,2877,8356
1113,957,1536,2811,8069
1114,905,1516,2703,7791
1115,884,1470,2598,7691
1116,867,1427,2545,7360
1117,870,1396,2524,7226
1118,870,1368,2463,7120
1119,869,1364,2420,6974
1120,865,1385,2391,6892
1121,848,1404,2404,6834
1122,869,1463,2372,6858
1123,886,1481,2401,6850
1124,915,1490,2522,7094
1125,969,1520,2639,7227
1126,1013,1612,2779,7632
1127,1106,1747,2927,7916
1128,1135,1875,3089,8284
1129,1170,2000,3298,8723
1130,1285,2160,3399,9169
1131,1374,2314,3696,9707
1132,1515,2438,3948,10358
1133,1605,2584,4199,11025
1134,1717,2686,4405,11648
1135,1825,2841,4621,12575
1136,1908,2932,4840,13489
1137,2003,2993,5174,14505
1138,2108,3062,5472,15711
1139,2213,3187,5696,17211
1140,2242,3265,5946,18689
1141,2287,3404,6118,20426
1142,2369,3431,6318,22065
1143,2423,3435,6455,23889
1144,2437,3528,6524,25772
1145,2453,3565,6590,27340
1146,2498,3540,6515,28648
1147,2479,3520,6586,29955
1148,2461,3432,6551,31017
1149,2526,3433,6454,31746
1150,2521,3445,6553,32412
1151,2450,3442,6447,32588
1152,2455,3399,6360,32865
1153,2437,3381,6294,32725
1154,2380,3376,6279,32395
1155,2403,3357,6248,32063
1156,2361,3314,6162,31502
1157,2337,3288,6102,30898
1158,2362,3196,6104,30026
1159,2316,3188,6008,29099
1160,2258,3155,5933,28116
1161,2271,3066,5762,27053
1162,2227,3066,5707,25927
1163,2154,3025,5594,24575
1164,2145,3011,5582,23399
1165,2037,2913,5426,22200
1166,1996,2851,5302,20949
1167,1958,2783,5210,19866
1168,1901,2766,5088,18751
1169,1872,2735,4944,17670
1170,1840,2666,4846,16660
1171,1765,2537,4737,15703
1172,1676,2460,4608,14784
1173,1600,2413,4508,14169
1174,1524,2283,4353,13498
1175,1419,2233,4216,12846
1176,1409,2142,4010,12205
1177,1324,2055,3810,11634
1178,1273,2009,3682,11005
1179,1236,1928,3473,10677
1180,1182,1859,3392,10152
1181,1167,1794,3258,9740
1182,1108,1756,3158,9334
1183,1093,1736,2993,8985
1184,1065,1660,2921,8599
1185,1026,1574,2844,8173
1186,943,1551,2738,7928
1187,928,1467,2706,7683
1188,894,1432,2617,7475
1189,854,1407,2576,7282
1190,827,1374,2519,7190
1191,832,1393,2512,7042
1192,845,1380,2494,6932
1193,836,1379,2422,6798
